# Raw measurement data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
10.2;0.28961;0.069366;-0.078112;0.0015558;0.30045;0.35403;0.10724;-0.1027
10.25;-0.044768;-0.068579;-0.078112;0.4801;0.50685;-0.014297;-0.066222;-0.1027
10.3;0.14855;0.31795;0.51215;-0.083564;-0.096633;0.15969;0.2983;0.44622
10.35;-0.089596;0.42532;0.36091;0.17435;0.17416;-0.086509;0.33169;0.36717
10.4;-0.10306;0.48955;0.74258;-0.087357;-0.071871;-0.077273;0.62806;0.55528
10.45;0.64838;0.12076;0.14459;0.099303;0.048094;0.60985;0.093201;0.08765
10.5;0.19316;-0.096946;-0.078112;-0.092066;0.30763;0.15403;-0.096922;-0.1027
10.55;-0.021538;-0.094658;-0.078112;-0.043458;0.46397;0.17055;-0.090411;-0.1027
10.6;-0.11009;0.042223;0.39033;0.16423;-0.096633;-0.086509;0.040662;0.47177
10.65;0.036933;-0.096946;-0.078112;0.10804;0.44728;0.12537;-0.092495;-0.1027
10.7;0.12893;-0.096946;0.076862;0.035683;0.50325;0.21451;-0.096922;0.00032089
10.75;-0.11009;0.26262;0.29685;0.24729;0.016515;-0.086509;0.24267;0.39535
10.8;0.17173;-0.081658;-0.072515;-0.041445;0.81782;0.3259;-0.082853;-0.094178
10.85;0.44704;0.22852;-0.078112;0.17526;0.099928;0.43616;0.23169;-0.1027
10.9;0.22616;0.038024;0.19102;0.54269;0.0054208;0.23232;0.037523;0.073826
10.95;-0.0081629;0.80069;0.16418;-0.026918;-0.059411;0.21061;0.67615;0.28921
11;-0.099007;0.025137;0.13855;-0.092066;-0.096633;-0.033623;0.29199;0.56525
11.05;0.29564;0.16321;-0.031528;-0.092066;-0.018355;0.41715;0.16632;0.089336
11.1;-0.11009;-0.092803;0.0026504;0.51248;0.037216;-0.086509;-0.090859;-0.042263
11.15;0.13205;-0.096946;-0.078112;0.25446;0.36721;0.18135;-0.096922;-0.1027
11.2;-0.062387;-0.085641;-0.078112;0.43305;0.48588;-0.039201;-0.083563;-0.1027
11.25;0.11134;0.11612;0.50929;0.096635;-0.096633;0.14438;0.083678;0.46486
