# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.18964;1.4873;1.4151;0.19198;-0.75584
-0.18914;1.6416;1.5586;0.22243;-0.60162
-0.18864;1.5762;1.4779;0.24071;-0.66702
-0.18814;1.5699;1.4839;0.21923;-0.67326
-0.18764;1.5868;1.5076;0.18853;-0.65639
-0.18714;1.5911;1.505;0.19142;-0.65211
-0.18664;1.5332;1.4053;0.26094;-0.71002
-0.18614;1.6122;1.4938;0.24655;-0.63095
-0.18564;1.5584;1.4484;0.22619;-0.68483
-0.18514;1.4983;1.3995;0.21754;-0.7449
-0.18464;1.5668;1.4824;0.21074;-0.67638
-0.18414;1.5406;1.415;0.27326;-0.70258
-0.18364;1.5985;1.4895;0.27446;-0.64466
-0.18314;1.5494;1.4536;0.25653;-0.69374
-0.18264;1.4988;1.4158;0.23449;-0.74435
-0.18214;1.567;1.5023;0.21748;-0.67623
-0.18164;1.541;1.4342;0.27712;-0.70219
-0.18114;1.6109;1.5155;0.26966;-0.6323
-0.18064;1.5619;1.475;0.25069;-0.68124
-0.18014;1.5109;1.4351;0.23;-0.73229
-0.17964;1.5842;1.5208;0.20878;-0.65901
-0.17914;1.5262;1.4259;0.28118;-0.71694
-0.17864;1.5972;1.5116;0.26598;-0.64596
-0.17814;1.5462;1.4758;0.23969;-0.69695
-0.17764;1.4679;1.4036;0.21169;-0.77533
-0.17714;1.4544;1.3979;0.21255;-0.78874
-0.17664;1.6392;1.5703;0.23456;-0.60394
-0.17614;1.6405;1.5687;0.23354;-0.60267
-0.17564;1.5586;1.4955;0.22065;-0.68462
-0.17514;1.5075;1.4566;0.19655;-0.73564
-0.17464;1.5808;1.5457;0.17102;-0.66234
-0.17414;1.5265;1.4539;0.2398;-0.71668
-0.17364;1.6013;1.535;0.22743;-0.64188
-0.17314;1.5518;1.4923;0.20629;-0.69139
-0.17264;1.4711;1.4111;0.18054;-0.77212
-0.17214;1.4581;1.4034;0.17975;-0.78512
-0.17164;1.6417;1.5763;0.19753;-0.60153
