# Envelope of the raw data
#   MATLAB signal filter envelope(..., 'peak') applied
#   Data scaled to the range from 0 to 1 for the envelope
#   Interpolated to delta t = 0.05 to reduce data
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
4.85;0.034289;0.03587;0.050193;0.043736;0.010452;0.015488;0.019259;-0.0053883
4.9;0.040648;0.046578;0.060924;0.054117;0.01051;0.016416;0.017416;-0.0064037
4.95;0.047522;0.058028;0.073026;0.065952;0.010537;0.01719;0.015291;-0.007356
5;0.054924;0.070188;0.086587;0.079327;0.010532;0.017783;0.012928;-0.0082284
5.05;0.062856;0.083007;0.10167;0.094311;0.010493;0.018169;0.010385;-0.0090019
5.1;0.071322;0.096442;0.11836;0.11098;0.010432;0.018321;0.0077186;-0.0096585
5.15;0.080326;0.11045;0.13671;0.12938;0.010387;0.018217;0.0049831;-0.010182
5.2;0.089579;0.12454;0.15613;0.14897;0.010394;0.017847;0.0023131;-0.010546
5.25;0.10008;0.14017;0.17855;0.17184;0.010496;0.017131;-0.00051381;-0.010762
5.3;0.11116;0.15627;0.20237;0.19639;0.010736;0.016066;-0.0032454;-0.010781
5.35;0.12285;0.17283;0.2274;0.22243;0.011155;0.014696;-0.0058308;-0.010585
5.4;0.13517;0.18981;0.25344;0.24974;0.011791;0.013136;-0.0082184;-0.010158
5.45;0.1481;0.20716;0.28022;0.27804;0.012682;0.011501;-0.010351;-0.0094825
5.5;0.16166;0.22484;0.30757;0.30716;0.013867;0.0099018;-0.012179;-0.0085423
5.55;0.17585;0.24283;0.33526;0.33687;0.015381;0.0084463;-0.013655;-0.0073219
5.6;0.19063;0.26107;0.3631;0.36696;0.01726;0.0072429;-0.014725;-0.0058052
5.65;0.20594;0.27953;0.39088;0.3972;0.019539;0.0063951;-0.015344;-0.0039773
5.7;0.22143;0.29784;0.41791;0.42687;0.022197;0.0060066;-0.015467;-0.0018659
5.75;0.23823;0.31731;0.44601;0.45797;0.025495;0.0061786;-0.015028;0.00072128
5.8;0.25542;0.33688;0.47345;0.48862;0.029334;0.0070582;-0.013956;0.0036919
5.85;0.27292;0.35646;0.49998;0.51857;0.03374;0.0087462;-0.012232;0.0070553
5.9;0.29068;0.37603;0.52543;0.54764;0.038756;0.011352;-0.009834;0.010832
5.95;0.30862;0.39551;0.5496;0.57561;0.044405;0.014966;-0.006754;0.01503
6;0.32672;0.41488;0.57232;0.60232;0.050733;0.019698;-0.0029672;0.019671
6.05;0.34491;0.43408;0.59341;0.62757;0.057768;0.025642;0.0015387;0.024767
6.1;0.36313;0.45307;0.61267;0.65118;0.065537;0.032887;0.0067761;0.030314
6.15;0.38064;0.47109;0.62933;0.67228;0.073736;0.041173;0.012521;0.036074
6.2;0.39939;0.49015;0.6452;0.69327;0.083378;0.05152;0.019488;0.042727
6.25;0.41806;0.50889;0.65916;0.71265;0.093932;0.063261;0.027306;0.04987
6.3;0.43653;0.52718;0.67132;0.7304;0.1054;0.076236;0.035972;0.057475
6.35;0.45474;0.545;0.68187;0.74661;0.11782;0.090314;0.045496;0.065538
6.4;0.47266;0.56231;0.69097;0.76135;0.13122;0.10539;0.055907;0.074063
6.45;0.49021;0.57903;0.69877;0.77468;0.14562;0.1213;0.067196;0.083028
6.5;0.50736;0.59514;0.70544;0.78668;0.16105;0.13794;0.079382;0.092433
6.55;0.52412;0.61061;0.71114;0.79741;0.17756;0.15522;0.092496;0.10229
6.6;0.54047;0.62538;0.71601;0.80694;0.1951;0.17301;0.10654;0.11257
6.65;0.55597;0.63905;0.7201;0.81513;0.21304;0.19069;0.1211;0.12299
6.7;0.57203;0.65284;0.72391;0.82273;0.23295;0.20983;0.13755;0.13455
6.75;0.58761;0.66585;0.72729;0.82924;0.25349;0.22915;0.1548;0.14654
6.8;0.60269;0.67811;0.73041;0.83473;0.2745;0.24853;0.17274;0.15898
6.85;0.61727;0.68963;0.73342;0.83926;0.29584;0.26787;0.19126;0.17186
6.9;0.63133;0.70045;0.73646;0.84289;0.31735;0.28705;0.21021;0.18518
6.95;0.64487;0.71057;0.73968;0.8457;0.33887;0.30596;0.22948;0.19893
7;0.65789;0.72003;0.74323;0.84773;0.36027;0.32451;0.24898;0.21311
7.05;0.67035;0.72883;0.74723;0.84906;0.38138;0.34256;0.26854;0.2277
7.1;0.68225;0.737;0.75173;0.84973;0.40205;0.36004;0.28808;0.24266
7.15;0.69344;0.74447;0.75663;0.84982;0.4219;0.37673;0.30722;0.2577
7.2;0.70462;0.75171;0.76222;0.84942;0.44206;0.39373;0.32711;0.27374
7.25;0.71516;0.75833;0.7682;0.84859;0.46131;0.41017;0.34662;0.28989
7.3;0.72507;0.76435;0.77452;0.84745;0.47952;0.42606;0.36564;0.30606
7.35;0.73433;0.7698;0.78112;0.84609;0.49654;0.44143;0.38405;0.32215
7.4;0.74295;0.7747;0.78796;0.84461;0.51226;0.45631;0.40177;0.3381
7.45;0.7509;0.77907;0.79498;0.84311;0.52653;0.47071;0.41865;0.35378
7.5;0.75818;0.78292;0.80213;0.84168;0.53939;0.48467;0.43462;0.36914
7.55;0.76479;0.78628;0.80937;0.84041;0.55093;0.49818;0.44958;0.38408
7.6;0.77051;0.78908;0.81639;0.83943;0.5609;0.51081;0.46305;0.39799
7.65;0.77599;0.79168;0.82394;0.83872;0.57048;0.524;0.47658;0.41237
7.7;0.78081;0.7939;0.83143;0.83846;0.57897;0.53678;0.48916;0.42604
7.75;0.78502;0.79578;0.83881;0.83876;0.58647;0.54916;0.50084;0.43889
