1256337 0 1257050 19 1257764 57 1258472 25 1259178 0 1259891 0 1260605 0 1261310 60 
1262974 0 1263688 52 1264394 49 1265106 0 1265819 0 1266532 0 1267239 27 1267951 59 
1269618 15 1270324 58 1271036 24 1271749 0 1272462 0 1273168 0 1273881 57 1274595 45 
1276259 59 1276972 47 1277686 0 1278392 0 1279104 0 1279818 28 1280524 56 1281229 20 
1282904 58 1283617 26 1284322 0 1285035 0 1285749 0 1286462 58 1287167 39 1287880 0 
1289557 43 1290264 0 1290977 0 1291691 0 1292397 34 1293110 56 1293823 6 1294529 0 
1296200 10 1296913 0 1297626 0 1298332 9 1299045 58 1299758 39 1300471 0 1301176 0 
1302859 0 1303573 0 1304279 0 1304992 55 1305705 52 1306419 0 1307125 0 1307838 0 
1309520 0 1310226 0 1310939 26 1311652 59 1312359 20 1313071 0 1313784 0 1314492 0 
1316172 0 1316886 8 1317599 58 1318305 40 1319017 0 1319730 0 1320444 0 1321150 53 
1576417 0 1577159 0 1577872 0 1578584 55 1579291 47 1580003 0 1580715 0 1581421 0 
1583137 0 1583875 0 1584588 58 1585293 44 1586005 0 1586717 0 1587423 0 1588134 37 
1589857 0 1590570 55 1591276 46 1591987 0 1592699 0 1593405 0 1594117 33 1594829 57 
1596523 59 1597263 42 1597976 0 1598689 0 1599395 0 1600106 33 1600818 56 1601525 11 
1603255 32 1603993 0 1604705 0 1605411 0 1606123 56 1606835 47 1607547 0 1608254 0 
1609985 0 1610724 0 1611431 11 1612142 57 1612898 13 1613606 0 1614312 0 1615023 13 
1616768 0 1617474 39 1618186 53 1618899 3 1619606 0 1620312 0 1621023 19 1621735 60 
1623467 58 1624206 43 1624918 0 1625625 0 1626330 0 1627041 33 1627754 54 1628460 12 
1630202 26 1630942 0 1631652 0 1632358 0 1633069 58 1633781 48 1634487 0 1635199 0 
1636944 0 1637671 0 1638378 13 1639090 59 1639803 30 1640509 0 1641221 0 1641933 0 
1643678 0 1644385 24 1645096 58 1645808 23 1646514 0 1647226 0 1647938 0 1648644 57 
1650389 56 1651128 47 1651840 0 1652546 0 1653258 0 1653970 25 1654677 59 1655383 20 
1657138 27 1657877 0 1658589 0 1659295 0 1660007 58 1660719 47 1661426 0 1662137 0 
1663895 0 1664608 0 1665313 12 1666025 61 1666737 36 1667443 0 1668155 0 1668867 0 
1670619 0 1671333 26 1672045 55 1672757 16 1673463 0 1674175 0 1674887 9 1675600 60 
1677356 57 1678094 35 1678807 0 1679513 0 1680224 0 1680936 39 1681644 52 1682349 8 
