# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.26514;2.3047;2.2634;0.60378;-0.50857
-0.26464;2.2988;2.2463;0.60556;-0.51442
-0.26414;2.387;2.367;0.66665;-0.42624
-0.26364;2.4566;2.4098;0.66392;-0.35665
-0.26314;2.4057;2.3279;0.69113;-0.40755
-0.26264;2.3031;2.2012;0.69737;-0.51013
-0.26214;2.3051;2.2422;0.68803;-0.50812
-0.26164;2.4794;2.4182;0.64801;-0.33387
-0.26114;2.4645;2.4095;0.63047;-0.3488
-0.26064;2.3487;2.3009;0.61557;-0.46459
-0.26014;2.2645;2.1985;0.58742;-0.54872
-0.25964;2.2962;2.2867;0.55278;-0.51706
-0.25914;2.3819;2.4132;0.62026;-0.43134
-0.25864;2.4458;2.4938;0.61647;-0.36748
-0.25814;2.3889;2.4468;0.62888;-0.42431
-0.25764;2.2775;2.3519;0.61555;-0.53575
-0.25714;2.2681;2.4055;0.60447;-0.54519
-0.25664;2.4457;2.5807;0.58322;-0.36758
-0.25614;2.4312;2.5551;0.57394;-0.38209
-0.25564;2.3134;2.4297;0.56065;-0.49988
-0.25514;2.2239;2.2995;0.54083;-0.58931
-0.25464;2.2511;2.3312;0.52023;-0.56212
-0.25414;2.3395;2.4455;0.58818;-0.47377
-0.25364;2.3613;2.4588;0.61079;-0.45194
-0.25314;2.3457;2.4186;0.5946;-0.4676
-0.25264;2.2607;2.2891;0.54823;-0.55251
-0.25214;2.19;2.2673;0.55731;-0.62326
-0.25164;2.3846;2.4855;0.56041;-0.42862
-0.25114;2.412;2.5174;0.57545;-0.40124
-0.25064;2.3368;2.4395;0.58846;-0.47647
-0.25014;2.2375;2.3396;0.54992;-0.57575
-0.24964;2.2646;2.3542;0.50041;-0.54866
-0.24914;2.3506;2.464;0.56312;-0.46263
-0.24864;2.3895;2.4728;0.55531;-0.42374
-0.24814;2.3755;2.4708;0.54892;-0.43773
-0.24764;2.3301;2.3791;0.5108;-0.48317
-0.24714;2.3046;2.3261;0.50188;-0.50869
-0.24664;2.475;2.5186;0.50236;-0.33828
-0.24614;2.4442;2.4943;0.49673;-0.36901
-0.24564;2.3689;2.4089;0.45478;-0.44438
-0.24514;2.321;2.3479;0.41262;-0.49222
-0.24464;2.3377;2.3655;0.4;-0.47556
-0.24414;2.4453;2.4956;0.44913;-0.36792
-0.24364;2.5171;2.5551;0.44034;-0.29615
-0.24314;2.4622;2.4875;0.44408;-0.35102
-0.24264;2.3667;2.378;0.438;-0.44658
-0.24214;2.3807;2.342;0.43284;-0.43253
-0.24164;2.56;2.5407;0.42181;-0.25323
-0.24114;2.529;2.5;0.4201;-0.2843
-0.24064;2.4434;2.4031;0.39575;-0.36986
-0.24014;2.3935;2.3646;0.38575;-0.4197
-0.23964;2.4231;2.3708;0.40781;-0.39016
-0.23914;2.5347;2.4787;0.43012;-0.27856
-0.23864;2.5583;2.5111;0.40866;-0.25492
-0.23814;2.4476;2.4073;0.39731;-0.36562
-0.23764;2.3687;2.3221;0.40735;-0.44451
-0.23714;2.4202;2.3296;0.42428;-0.39304
-0.23664;2.5332;2.4409;0.44116;-0.28008
-0.23614;2.5525;2.4534;0.4203;-0.26075
-0.23564;2.4402;2.3372;0.40903;-0.37301
-0.23514;2.3176;2.1907;0.41598;-0.49568
-0.23464;2.3021;2.173;0.42433;-0.51111
-0.23414;2.5144;2.4042;0.41093;-0.29887
-0.23364;2.5137;2.4098;0.43871;-0.29957
-0.23314;2.4667;2.3659;0.45642;-0.34652
-0.23264;2.3805;2.3196;0.45281;-0.43279
-0.23214;2.3196;2.2726;0.46877;-0.49364
-0.23164;2.5021;2.4701;0.43657;-0.3111
-0.23114;2.4601;2.4536;0.43665;-0.35313
-0.23064;2.3702;2.3672;0.41658;-0.44306
-0.23014;2.2768;2.2773;0.40118;-0.53642
-0.22964;2.2074;2.2133;0.41206;-0.60583
-0.22914;2.4152;2.4266;0.40403;-0.39802
-0.22864;2.4027;2.4189;0.43116;-0.41052
-0.22814;2.3522;2.3564;0.43634;-0.46108
-0.22764;2.2493;2.2078;0.40269;-0.56397
-0.22714;2.1601;2.1521;0.39764;-0.65316
-0.22664;2.3583;2.3728;0.39033;-0.45497
-0.22614;2.341;2.3775;0.4194;-0.47224
-0.22564;2.2921;2.3158;0.42303;-0.52111
-0.22514;2.2099;2.2019;0.41101;-0.60337
-0.22464;2.1379;2.0739;0.43416;-0.67531
-0.22414;2.3276;2.2768;0.41533;-0.48564
-0.22364;2.2834;2.2487;0.42401;-0.52983
-0.22314;2.2059;2.1767;0.3992;-0.60736
-0.22264;2.1388;2.081;0.39459;-0.67446
-0.22214;2.089;2.0097;0.43609;-0.72427
-0.22164;2.2891;2.2312;0.43523;-0.52414
-0.22114;2.2459;2.1807;0.44246;-0.56738
-0.22064;2.1751;2.0929;0.41212;-0.63812
-0.22014;2.1157;2.0048;0.39102;-0.69756
-0.21964;2.1063;1.9852;0.39821;-0.70699
-0.21914;2.1844;2.0978;0.45352;-0.62886
-0.21864;2.2007;2.1021;0.47167;-0.61254
-0.21814;2.1824;2.0539;0.46031;-0.63082
-0.21764;2.1046;1.9566;0.42608;-0.70863
-0.21714;2.0289;1.8967;0.43618;-0.78433
-0.21664;2.2279;2.1242;0.43749;-0.58539
-0.21614;2.2061;2.0983;0.46989;-0.60711
-0.21564;2.1625;2.0303;0.46822;-0.65073
-0.21514;2.0939;1.9415;0.44908;-0.71933
-0.21464;2.0243;1.8747;0.46853;-0.78894
-0.21414;2.2127;2.1006;0.45526;-0.60058
-0.21364;2.1661;2.0658;0.46255;-0.64714
-0.21314;2.0989;1.9883;0.43038;-0.71433
-0.21264;2.0283;1.8893;0.40455;-0.78493
-0.21214;1.9542;1.8293;0.42033;-0.85904
-0.21164;2.1555;2.0614;0.42604;-0.65773
-0.21114;2.1249;2.0344;0.45769;-0.68837
-0.21064;2.0814;1.9655;0.45185;-0.73185
-0.21014;2.005;1.9043;0.41421;-0.80827
-0.20964;1.9153;1.821;0.41922;-0.89793
-0.20914;2.1147;2.0502;0.41938;-0.69858
-0.20864;2.081;2.0191;0.45061;-0.73226
-0.20814;2.0366;1.9503;0.44556;-0.77667
-0.20764;1.969;1.8554;0.41855;-0.84428
-0.20714;1.8875;1.7855;0.43252;-0.92577
-0.20664;2.077;2.0107;0.42525;-0.73621
-0.20614;2.069;2.0089;0.41446;-0.74425
-0.20564;1.9582;1.8932;0.39861;-0.85503
-0.20514;1.8361;1.7662;0.39651;-0.97716
-0.20464;1.8207;1.7293;0.40083;-0.99254
-0.20414;2.0274;1.9483;0.40243;-0.78586
-0.20364;1.9718;1.9009;0.41092;-0.84142
-0.20314;1.92;1.8339;0.37495;-0.89324
-0.20264;1.8646;1.748;0.34415;-0.94865
-0.20214;1.7845;1.6517;0.36342;-1.0288
-0.20164;1.9754;1.8491;0.37595;-0.83782
-0.20114;1.9227;1.801;0.38012;-0.8906
-0.20064;1.8754;1.7633;0.34427;-0.93787
-0.20014;1.8236;1.7178;0.31218;-0.98965
-0.19964;1.7441;1.6486;0.32526;-1.0692
-0.19914;1.9341;1.848;0.34173;-0.8792
-0.19864;1.8776;1.7871;0.35211;-0.93561
-0.19814;1.8338;1.7538;0.31681;-0.97941
-0.19764;1.7885;1.7213;0.28544;-1.0247
-0.19714;1.7074;1.6411;0.29742;-1.1059
-0.19664;1.8954;1.8389;0.31823;-0.91789
-0.19614;1.8399;1.8038;0.32896;-0.9734
-0.19564;1.799;1.7734;0.29553;-1.0143
-0.19514;1.7557;1.7423;0.25833;-1.0576
-0.19464;1.6751;1.664;0.26302;-1.1381
-0.19414;1.8633;1.867;0.29053;-0.94994
-0.19364;1.8134;1.8094;0.31006;-0.9999
-0.19314;1.7809;1.7743;0.28591;-1.0324
-0.19264;1.7439;1.7391;0.25362;-1.0693
-0.19214;1.6646;1.6465;0.25223;-1.1486
-0.19164;1.8479;1.8431;0.27546;-0.96533
-0.19114;1.7958;1.7853;0.28569;-1.0174
-0.19064;1.7601;1.7635;0.25137;-1.0532
-0.19014;1.7229;1.7275;0.21524;-1.0904
-0.18964;1.6477;1.6607;0.2202;-1.1655
-0.18914;1.8365;1.8638;0.25607;-0.97679
-0.18864;1.7906;1.8338;0.27277;-1.0227
-0.18814;1.758;1.7916;0.24101;-1.0553
-0.18764;1.7372;1.7584;0.1951;-1.0761
-0.18714;1.7388;1.7651;0.18577;-1.0745
-0.18664;1.7577;1.8103;0.26671;-1.0555
-0.18614;1.8248;1.8895;0.24515;-0.98848
-0.18564;1.7499;1.817;0.2186;-1.0634
-0.18514;1.6805;1.7348;0.20215;-1.1328
-0.18464;1.7416;1.7672;0.18725;-1.0716
-0.18414;1.7781;1.8151;0.25904;-1.0351
-0.18364;1.8397;1.8476;0.25222;-0.97357
-0.18314;1.7678;1.7649;0.231;-1.0455
-0.18264;1.7004;1.6846;0.21038;-1.1128
-0.18214;1.7623;1.7596;0.19938;-1.0509
-0.18164;1.8048;1.8087;0.27373;-1.0084
-0.18114;1.872;1.885;0.26528;-0.94125
-0.18064;1.8018;1.8069;0.24793;-1.0115
-0.18014;1.7398;1.7302;0.23381;-1.0735
-0.17964;1.8063;1.8091;0.22326;-1.007
-0.17914;1.8416;1.8838;0.30412;-0.97166
-0.17864;1.9028;1.9383;0.28803;-0.91042
-0.17814;1.825;1.8462;0.26303;-0.98824
-0.17764;1.7289;1.7294;0.25025;-1.0843
-0.17714;1.7401;1.7516;0.26279;-1.0732
-0.17664;1.9552;1.9846;0.28589;-0.85802
-0.17614;1.9684;1.9882;0.29211;-0.8448
-0.17564;1.8773;1.8778;0.28367;-0.93593
-0.17514;1.8048;1.7868;0.25999;-1.0084
-0.17464;1.8652;1.8504;0.24129;-0.94805
-0.17414;1.9188;1.9616;0.32148;-0.89448
-0.17364;1.9871;2.0163;0.30779;-0.82617
-0.17314;1.9152;1.9191;0.29313;-0.89801
-0.17264;1.8168;1.8032;0.2825;-0.99641
